브랜드코드,브랜드명,점포번호,점포명,사업자번호,MENU_CD,MENU_FULL_NM,MENU_NM,판매가격
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000037,자몽에이드,자몽에이드,"5,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000038,청포도에이드,청포도에이드,"3,800"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000039,레몬에이드,레몬에이드,"5,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000040,체리에이드,체리에이드,"3,800"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000041,레몬청포도에이드,레몬청포도에이드,"3,800"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000088,페리에탄산수,페리에탄산수,"3,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000092,골든메달애플,골든메달애플,"3,800"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000093,분다버그핑크,분다버그핑크,"4,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000094,산펠그리노탄산수,산펠그리노탄산수,"3,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000097,스프라이트,스프라이트,"3,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000121,플레인요거트스무디,플레인요거트스무디,"2,222"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000158,청포도 에이드,청포도 에이드,"5,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000159,오렌지한라봉에이드,오렌지한라봉에이드,"5,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000163,부드러운원두,부드러운원두,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000042,아이스크림 크로플,아이스크림 크로플,"9,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000043,브라운치즈 크로플,브라운치즈 크로플,"10,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000044,리코타치즈샐러드,리코타치즈샐러드,"9,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000045,라쿤플레이트,라쿤플레이트,"11,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000046,그릴드더블햄치즈토스트,그릴드더블햄치즈토스트,"6,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000047,HOT,HOT,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000048,ICE,ICE,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000049,사이즈업,사이즈업,500
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000050,샷추가,샷추가,"1,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000051,휘핑있음,휘핑있음,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000052,휘핑없음,휘핑없음,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000053,Only ICE,Only ICE,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000054,선택 없음,선택 없음,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000055,조금만,조금만,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000056,기본,기본,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000057,많이,많이,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000058,많이,많이,300
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000059,조금만,조금만,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000060,기본,기본,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000061,많이,많이,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000062,많이,많이,300
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000063,치즈추가,치즈추가,"1,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000064,라코타치즈 추가,라코타치즈 추가,"1,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000065,소세지추가,소세지추가,"1,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000066,후렌치프라이추가,후렌치프라이추가,"1,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000067,아이스크림 추가,아이스크림 추가,"1,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000068,바닐라시럽추가,바닐라시럽추가,300
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000069,초코소스추가 ,초코소스추가 ,500
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000070,캐러멜소스추가 ,캐러멜소스추가 ,500
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000071,햄추가,햄추가,"1,000"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000072,리코타치즈추가,리코타치즈추가,"1,500"
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000084,매장,매장,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000085,포장,포장,0
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000087,초코소스,초코소스,500
rakun,라쿤카페,1001,라쿤라떼17,349-02-01908,B0000089,플레인,플레인,0
